codigo,nombre,precio_texto,precio_valor,moneda,imagen,imagen_url
1123-ESTEREOFIJO,ESTEREO BLUETOOTH AUTO FRENTE FIJO ALIEN 1123 ____,"$ 13,500",13.5,ARS,fotos/1123-ESTEREOFIJO.jpg,https://www.electrotecno.ar/fotos/1123-ESTEREOFIJO.jpg
1881-ESTEREODESM,ESTEREO BLUETOOTH AUTO FRENTE DESMONTABLE ALIEN __,"$ 17,900",17.9,ARS,fotos/1123-ESTEREOFIJO.jpg,https://www.electrotecno.ar/fotos/1123-ESTEREOFIJO.jpg
CPM158-,BOMBA CENTRIFUGA 1GP - 750W - LUSQTOFF ___________,"$ 76,500",76.5,ARS,fotos/1881-ESTEREODESM.jpg,https://www.electrotecno.ar/fotos/1881-ESTEREODESM.jpg
DXKITOOLS499,KIT DE HERRAMIENTAS PROFESIONAL DINAX 499 EN 1 ___,"$ 135,000",135.0,ARS,fotos/1881-ESTEREODESM.jpg,https://www.electrotecno.ar/fotos/1881-ESTEREODESM.jpg
KTS-1333,PARLANTE 6.5 PLG BT C/MICROFONO __________________,"$ 18,000",18.0,ARS,fotos/CPM158-.jpg,https://www.electrotecno.ar/fotos/CPM158-.jpg
RD-440,PARLANTE PORTATIL SUPER BASS ALAXE c _____________,"$ 13,300",13.3,ARS,fotos/CPM158-.jpg,https://www.electrotecno.ar/fotos/CPM158-.jpg
RD-510,ZAPATERO 6 NIVELES CON CAJONES- __________________,"$ 20,300",20.3,ARS,fotos/CPM158--2.jpg,https://www.electrotecno.ar/fotos/CPM158--2.jpg
RD-577,RACK DE ZAPATOS PLEGABLE 6 NIVELES- ______________,"$ 25,300",25.3,ARS,fotos/CPM158--2.jpg,https://www.electrotecno.ar/fotos/CPM158--2.jpg
RD-657,"PARLANTE 8""X2 CON CARRITO Y LUCES - ______________","$ 87,000",87.0,ARS,fotos/CPM158--3.jpg,https://www.electrotecno.ar/fotos/CPM158--3.jpg
TMPT9612,PARLANTE DE DUCHA BLUETOOTH - ____________________,"$ 7,200",7.2,ARS,fotos/CPM158--3.jpg,https://www.electrotecno.ar/fotos/CPM158--3.jpg
2128503MD---,BICICLETA RODADO 29 - 21 VEL - FIAT 500 - ALUMINIO,"$ 189,000",189.0,ARS,fotos/DXKITOOLS499.jpg,https://www.electrotecno.ar/fotos/DXKITOOLS499.jpg
473ML--,VASO TERMICO LED CON PARLANTE 473ML ______________,"$ 14,900",14.9,ARS,fotos/DXKITOOLS499.jpg,https://www.electrotecno.ar/fotos/DXKITOOLS499.jpg
CPC-801,PARLANTE PARA PC C/LUZ RGB (606) _________________,"$ 14,300",14.3,ARS,fotos/DXKITOOLS499-2.jpg,https://www.electrotecno.ar/fotos/DXKITOOLS499-2.jpg
H-08,TRIPODE PARA PARLANTE C / LUZ RGB- _______________,"$ 11,100",11.1,ARS,fotos/DXKITOOLS499-2.jpg,https://www.electrotecno.ar/fotos/DXKITOOLS499-2.jpg
KJHWMCVSL6K,LAVARROPAS AUTOMATICO 6 KG CARGA SUPERIOR KANJI __,"$ 250,000",250.0,ARS,fotos/DXKITOOLS499-3.jpg,https://www.electrotecno.ar/fotos/DXKITOOLS499-3.jpg
RD-642,SET MARCADORES DOBLE PUNTA X120PCS plumon ________,"$ 24,000",24.0,ARS,fotos/DXKITOOLS499-3.jpg,https://www.electrotecno.ar/fotos/DXKITOOLS499-3.jpg
SETFARY5P,SET DE BATERIA 5 PIEZAS - ACERO CARBONO ANTIADHERE,"$ 35,000",35.0,ARS,fotos/KTS-1333.jpg,https://www.electrotecno.ar/fotos/KTS-1333.jpg
SH4579OR,TUPPER PLEGABLE X3 350ML-500ML-800ML _____________,"$ 15,800",15.8,ARS,fotos/KTS-1333.jpg,https://www.electrotecno.ar/fotos/KTS-1333.jpg
VXACH29,BICICLETA MTB RODADO 29 VEX - VARIOS COLORES -  __,"$ 215,000",215.0,ARS,fotos/KTS-1333-2.jpg,https://www.electrotecno.ar/fotos/KTS-1333-2.jpg
WD-580,PARLANTE CYBERTRUCK TESLA CON PANTALLA LED - _____,"$ 23,900",23.9,ARS,fotos/KTS-1333-2.jpg,https://www.electrotecno.ar/fotos/KTS-1333-2.jpg
DL1166,JUEGO DE TOALLAS SUPERABSORVENTE 70X35- 140X70 ___,"$ 10,900",10.9,ARS,fotos/KTS-1333-3.jpg,https://www.electrotecno.ar/fotos/KTS-1333-3.jpg
DL1181-2,CAMA NIDO DE MASCOTA 60 CM ALGODON PELO LARGO/ ___,"$ 14,600",14.6,ARS,fotos/KTS-1333-3.jpg,https://www.electrotecno.ar/fotos/KTS-1333-3.jpg
4800-,COCINA INDUSTRIAL USMAN 4H + 1 PLANCHA COMPACT ___,"$ 410,000",410.0,ARS,fotos/RD-440.jpg,https://www.electrotecno.ar/fotos/RD-440.jpg
912-,MONOPATINDE METAL CON LUCES  _____________________,"$ 17,900",17.9,ARS,fotos/RD-440.jpg,https://www.electrotecno.ar/fotos/RD-440.jpg
AFR-1802,FREIDORA DE AIRE 10 LTS WESTINGHOUSE - AYR FRYER _,"$ 110,000",110.0,ARS,fotos/RD-440-2.jpg,https://www.electrotecno.ar/fotos/RD-440-2.jpg
CANASTA-MATE,CANASTA DE MATE - CANASTA MATERA CUERINA _________,"$ 9,100",9.1,ARS,fotos/RD-440-2.jpg,https://www.electrotecno.ar/fotos/RD-440-2.jpg
CONSERV-10LTS,CONSERVADORA 10 LTS ______________________________,"$ 7,500",7.5,ARS,fotos/RD-440-3.jpg,https://www.electrotecno.ar/fotos/RD-440-3.jpg
CR1216,KIT DE HERRAMIENTAS LLAVE  TUBOS SOCKET 216PCS -,"$ 115,000",115.0,ARS,fotos/RD-440-3.jpg,https://www.electrotecno.ar/fotos/RD-440-3.jpg
estante1,ESTANTE PARA ALACENA  34 CM X 17CM ALTO 24CM  X2U,"$ 9,500",9.5,ARS,fotos/RD-510.jpg,https://www.electrotecno.ar/fotos/RD-510.jpg
FR-7300,FREIDORA ELECTRICA 1 LTS YELMO CON ACEITE  -  ____,"$ 33,000",33.0,ARS,fotos/RD-510.jpg,https://www.electrotecno.ar/fotos/RD-510.jpg
FRUTERO4,ESTANTE FRUTERO 4 ESTANTES ORGANIZADOR ___________,"$ 18,300",18.3,ARS,fotos/RD-510-2.jpg,https://www.electrotecno.ar/fotos/RD-510-2.jpg
HM9020,MICROONDAS ROTATIVO TACTIL 20 LTS YELMO  -  ______,"$ 134,000",134.0,ARS,fotos/RD-510-2.jpg,https://www.electrotecno.ar/fotos/RD-510-2.jpg
